Category,Subcategory,Program,Organization,Host Institution,Country,Target Audience,Funding,Funding Details,Supervisor Match,Duration,Application Open,Application Deadline,Expected Open Month,Expected Deadline Month,Date Status,Deadline Confidence,Application Effort,Prestige Score (1-10),Funding Score (1-10),AI/ML Fit Score (1-10),Official Website,Notes
Research,Technical Fellowship,Astra Fellowship,Constellation,Online / Hybrid,Worldwide,Early-career Researchers,Fully Funded,Stipend for research project,Yes,Varies,June,July,June,July,Estimated (Varies by Cohort),Medium,High,8,8,9,https://constellation.org/programs/astra,Often runs twice a year or on a rolling basis.
Research,Technical Fellowship,SPAR,SPAR AI,Online,Worldwide,Students & Ind. Researchers,Mostly Funded,Project-based micro-grants available,Yes,1-3 months,August,September,August,September,Estimated (Varies by Cohort),Medium,Medium,8,6,9,https://sparai.org/,Runs 2-3x a year (Fall and Winter/Spring cohorts).
Research,Technical Fellowship,LASR Labs,LASR,Hybrid / In-Person,UK / Worldwide,Researchers & Engineers,Fully Funded,Stipend and computational resources,Yes,Cohort-based,May,June,May,June,Estimated (Varies by Cohort),Medium,High,8,8,9,https://www.lasrlabs.org/,Cohorts are planned around academic breaks and summer periods.
Research,Technical Fellowship,Cambridge ERA:AI,ERA Fellowship,Hybrid / In-Person,UK (Cambridge),Students & Researchers,Fully Funded,"Stipend, travel, and accommodation",Yes,8 weeks,January,March,January,March,Estimated (Annual),Medium,High,8,8,8,https://erafellowship.org/,Main summer cohort applications open early in the year.
Research,Technical Fellowship,Algoverse AI Safety Fellowship,Algoverse,Online,Worldwide,Undergrad & Ind. Researchers,Fully Funded,Stipend provided,Yes,12 weeks,August,September,August,September,Estimated (Varies by Cohort),Medium,Medium,7,7,8,https://algoverseairesearch.org/ai-safety-fellowship,Usually runs two cohorts per year.
Research,Technical Fellowship,PIBBSS,PIBBSS,Online / Hybrid,Worldwide,Interdisciplinary Researchers,Fully Funded,Stipend and travel support,Yes,Summer,November,January,November,January,Estimated (Annual),Medium,High,8,8,6,https://princint.ai/programs/fellowship/,Annual cycle. Applications open late in the year for the following summer.
Research,Technical Fellowship,MATS,MATS Program,Hybrid,USA (Berkeley),Aspiring AI Researchers,Fully Funded,"Generous stipend, travel, and housing",Yes,8-10 weeks,August,September,August,September,Estimated (Varies by Cohort),High,High,10,9,10,https://www.matsprogram.org/,Runs twice a year (Summer and Winter cohorts).
Research,Technical Fellowship,ML Collective,ML Collective,Online,Worldwide,Independent Researchers,Unfunded,Access to community and GPU clusters,No,Ongoing,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Low,8,3,9,https://mlcollective.org/,Always open. Applications for membership and research presentation are rolling.
Research,Technical Fellowship,Mila AI Policy Fellowship,Mila,Hybrid,Canada (Montreal),Grad Students & Researchers,Fully Funded,Stipend provided,Yes,Varies,January,March,January,March,Estimated (Annual),Medium,High,9,8,7,https://mila.quebec/en/ai4humanity/ai-governance-policy-and-inclusion/mila-ai-policy-fellowship,Aligned with Canadian academic year timelines.
Research,Research Internship,INSAIT SURF,INSAIT,In-Person,Bulgaria (Sofia),Undergrad & Grad Students,Fully Funded,"Monthly stipend, accommodation, and travel",Yes,Summer (3 mos),November,February,November,February,Estimated (Annual),High,High,8,8,9,https://insait.ai/surf/,Fixed annual cycle. Applications open in late Autumn and close in Winter.
Research,Technical Fellowship,Redwood Research Remix,Redwood Research,Hybrid / In-Person,USA (Berkeley),Technical Engineers,Fully Funded,Stipend and premium compute access,Yes,Varies,March,April,March,April,Estimated (Varies by Cohort),Medium,High,9,9,10,https://aisecurityandsafety.org/en/grants/redwood-research-remix/,Subject to laboratory research cycles and external funding grants.
Research,Technical Fellowship,Apart / Alignment Jams,Apart Research,Online,Worldwide,Developers & Researchers,Fully Funded,Cash prizes for top projects,No,Weekends,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Low,7,5,8,https://apartresearch.com/sprints,Runs monthly. Different themes and hackathons happen constantly.
Research,Technical Fellowship,Cohere Labs,Cohere,Online / Hybrid,Worldwide,NLP Researchers,Fully Funded,Industry standard research stipends,Yes,Varies,Always Open,Always Open,Continuous,Continuous,Confirmed,High,High,9,9,10,https://cohere.com/research,Rolling applications for research positions and residency programs.
Research,Technical Fellowship,Encode,Encode Club,Online,Worldwide,Developers & Founders,Partially Funded,Grants and investor network matching,No,Varies,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Medium,6,6,7,https://encode.pillar.vc/,Runs bootcamps and hackathons continuously throughout the year.
Research,Technical Fellowship,PRISM Fellowship,PRISM,Online,Worldwide,Underrepresented Groups,Fully Funded,Mentorship and research stipend,Yes,Varies,June,July,June,July,Estimated (Varies by Cohort),Medium,Medium,8,8,8,https://prism-research.org/,"Often opens alongside global AI conferences (NeurIPS, ICML)."
Research,Technical Fellowship,MARS,CAISH,Online / Hybrid,Worldwide,AI Scholars,Fully Funded,Stipend provided,Yes,Varies,August,September,August,September,Estimated (Varies by Cohort),Medium,High,8,8,9,https://caish.org/mars,Follows a cohort structure closely tied to the SPAR and MATS cycles.
Other Resources,Aggregator,LabsXIV,LabsXIV,Online,Worldwide,Job & Internship Seekers,Free,Access to aggregated job listings,No,Continuous,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Low,7,1,8,https://labsxiv.com/,Job board aggregator. Constantly updated with new roles.
Other Resources,Calendar,AI Safety Events,AI Safety,Online,Worldwide,AI Community,Free,No-cost community tracking resource,No,Continuous,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Low,7,1,8,https://aisafety.com/events-and-training,Public calendar aggregator. Always active.
